0.847569,-0.913333,-0.0338267,-0.180165,0.0464517,-0.449954,0
-0.225911,0.0454085,-0.112007,0.0429612,0.398754,0.215931,0
-0.224837,-0.975741,0.202539,-0.608025,-0.305759,-1.2825,0
-0.861198,-0.515799,-0.52062,0.0499808,-0.66142,-0.318908,0
0.36254,-0.00187836,0.142157,1.27496,-0.884496,-0.371357,0
0.949271,-0.6375,-0.381131,0.515401,0.657201,0
0.44153,-0.137812,0.865996,-0.507238,-0.625226,0
0.49567,-0.61288,-0.00894384,0.253672,-0.996602,0
-0.177922,-0.498302,-0.208708,0.390762,0.960699,0
0.223761,-0.307242,0.0686911,-0.786135,-0.932549,0
1.59006,0.721912,-0.540033,-0.758129,0.333466,0
-0.763001,0.561521,-1.01678,-0.158657,-0.145231,0
0.229309,-0.354571,-1.10313,0.413389,-0.42091,0
0.962851,-0.694693,-0.092424,-0.989951,0.135579,0
0.51338,0.696154,-0.335002,0.245551,-1.14363,0
0.531776,-0.499749,0.0134688,0.0831118,-0.0844822,0.971962,-0.590698,-0.724281,-0.528786,0.815858,0
0.145916,-0.749961,-1.18155,0.724284,0.142308,0.0572634,0.640187,0.791971,-0.0844631,-0.467965,0
0.221437,0.331486,0.434062,-0.229786,0.28583,-0.612685,0.0547331,-0.667239,-0.649989,-0.0983601,0
